117,55.50,55.00,.50,5.44,.58,0.33
118,54.04,54.00,.50,5.40,.63,0.33
119,54.04,54.00,.50,5.46,.56,0.33
120,53.55,54.00,.49,5.46,.56,0.33
121,54.53,54.50,.50,5.39,.63,0.33
122,55.01,54.50,.50,5.39,.63,0.33
123,54.04,54.00,.50,5.47,.56,0.33
124,55.01,54.00,.50,5.43,.59,0.33
125,54.04,54.00,.50,5.45,.57,0.33
126,55.01,55.50,.50,5.45,.57,0.33
127,54.53,55.00,.50,5.37,.65,0.33
128,55.01,54.00,.50,5.36,.66,0.33
129,55.50,54.00,.50,5.39,.63,0.33
130,55.01,55.00,.50,5.41,.60,0.33
131,55.01,55.00,.50,5.43,.59,0.33
132,55.99,55.50,.49,5.44,.58,0.33
133,55.50,55.00,.50,5.45,.57,0.33
134,55.01,55.00,.49,5.43,.59,0.33
135,54.53,54.50,.50,5.44,.59,0.33
136,54.53,56.00,.50,5.41,.60,0.33
137,55.50,55.00,.50,5.40,.62,0.33
138,55.99,54.50,.50,5.40,.62,0.33
139,55.50,54.50,.49,5.47,.55,0.33
140,55.01,55.50,.50,5.42,.60,0.33
141,54.53,55.00,.49,5.46,.55,0.34
142,55.01,54.50,.50,5.45,.57,0.34
143,55.01,54.50,.50,5.48,.53,0.34
144,55.50,55.00,.50,5.42,.60,0.34
145,54.53,54.00,.50,5.39,.63,0.34
146,55.01,55.50,.50,5.46,.56,0.34
147,55.50,55.00,.50,5.46,.55,0.34
148,55.99,54.00,.50,5.40,.61,0.34
149,55.50,54.50,.50,5.48,.54,0.34
150,55.50,56.00,.50,5.42,.59,0.34
151,56.47,56.40,.50,5.45,.57,0.34
152,55.01,55.00,.50,5.39,.63,0.34
153,55.01,55.00,.49,5.46,.54,0.34
154,55.99,56.40,.49,5.45,.56,0.34
155,55.99,55.00,.50,5.42,.60,0.34
156,54.53,55.00,.50,5.45,.57,0.34
157,55.50,55.50,.50,5.48,.53,0.34
158,55.01,54.50,.50,5.43,.58,0.34
159,55.01,56.00,.49,5.41,.60,0.34
160,55.99,55.00,.50,5.37,.64,0.34
161,55.50,55.50,.49,5.41,.60,0.34
162,54.53,55.50,.50,5.39,.63,0.34
163,55.01,56.40,.50,5.41,.55,0.34
164,55.99,55.50,.50,5.42,.59,0.34
165,55.50,56.40,.50,5.41,.61,0.34
166,55.50,56.40,.50,5.41,.60,0.34
167,55.99,55.50,.50,5.47,.54,0.34
168,55.99,55.50,.50,5.44,.55,0.34
169,55.01,54.50,.50,5.45,.56,0.34
170,55.50,55.50,.50,5.42,.60,0.34
171,55.50,54.50,.50,5.39,.62,0.34
172,55.99,56.00,.50,5.35,.62,0.34
173,55.99,56.00,.50,5.37,.65,0.34
174,55.01,55.00,.50,5.34,.68,0.34
175,55.50,56.00,.49,5.38,.63,0.34
176,55.50,54.50,.50,5.34,.67,0.34
177,55.99,55.00,.50,5.43,.58,0.34
178,55.99,56.00,.50,5.41,.60,0.34
179,55.50,55.50,.50,5.43,.58,0.34
180,55.99,55.00,.50,5.43,.59,0.34
181,55.01,57.40,.50,5.39,.57,0.34
182,56.47,55.00,.50,5.37,.64,0.35
183,55.50,55.50,.50,5.41,.58,0.35
184,55.99,55.50,.50,5.45,.53,0.35
185,55.99,55.50,.50,5.42,.59,0.35
186,55.50,55.50,.50,5.44,.57,0.35
187,55.50,56.40,.50,5.38,.63,0.35
188,55.01,56.40,.50,5.34,.67,0.35
189,55.99,56.00,.50,5.42,.60,0.35
190,55.01,55.50,.50,5.35,.66,0.35
191,55.99,55.50,.50,5.32,.63,0.35
192,55.99,56.40,.50,5.36,.63,0.35
193,55.50,56.40,.50,5.40,.54,0.35
194,55.50,55.50,.50,5.39,.62,0.35
195,55.50,56.00,.50,5.39,.61,0.35
196,55.50,55.50,.49,5.42,.59,0.35
197,55.99,56.40,.50,5.38,.63,0.35
198,55.99,56.40,.50,5.32,.69,0.35
199,55.50,56.00,.50,5.35,.63,0.35
200,54.53,56.00,.50,5.38,.62,0.35
201,56.47,56.00,.50,5.34,.67,0.35
202,55.99,56.00,.49,5.35,.66,0.35
203,55.99,56.40,.50,5.37,.64,0.35
204,56.96,55.50,.50,5.40,.61,0.35
205,55.01,56.00,.50,5.38,.63,0.35
206,56.47,56.00,.50,5.40,.61,0.35
207,55.99,56.40,.50,5.38,.63,0.35
208,55.99,56.00,.50,5.46,.55,0.35
209,55.50,56.40,.50,5.35,.66,0.35
210,55.50,56.00,.50,5.31,.69,0.35
211,56.96,56.00,.49,5.38,.63,0.35
212,55.99,56.40,.50,5.44,.55,0.35
213,55.99,56.40,.50,5.35,.63,0.35
214,56.47,56.00,.50,5.41,.60,0.35
215,56.47,56.90,.50,5.36,.65,0.35
216,56.96,56.00,.50,5.38,.63,0.35
217,55.99,56.40,.50,5.36,.65,0.35
218,55.50,55.50,.50,5.35,.65,0.35
219,56.47,56.40,.50,5.35,.66,0.35
220,55.50,56.00,.50,5.36,.64,0.35
221,56.47,56.40,.50,5.33,.68,0.36
222,55.99,56.40,.50,5.42,.59,0.36
223,55.50,56.40,.50,5.36,.64,0.36
224,56.47,56.40,.50,5.37,.63,0.36
225,55.99,56.00,.50,5.34,.66,0.36
226,56.96,56.00,.50,5.37,.64,0.36
227,55.99,55.50,.50,5.33,.68,0.36
228,56.96,55.50,.50,5.39,.62,0.36
229,56.96,56.00,.49,5.48,.53,0.36
230,55.50,55.50,.50,5.41,.60,0.36
231,55.99,56.00,.50,5.37,.64,0.36
232,55.99,56.40,.50,5.36,.64,0.36
233,56.47,56.40,.50,5.38,.59,0.36
234,56.47,56.40,.50,5.38,.62,0.36
235,55.99,56.00,.50,5.40,.61,0.36
236,56.47,55.50,.50,5.38,.62,0.36
237,55.99,56.90,.50,5.45,.56,0.36
238,55.99,56.00,.50,5.40,.61,0.36
239,56.47,56.00,.50,5.33,.67,0.36
240,56.47,57.40,.50,5.29,.71,0.36
241,56.96,56.40,.49,5.38,.62,0.36
242,56.96,56.40,.50,5.30,.70,0.36
243,56.47,56.90,.50,5.30,.70,0.36
244,55.99,57.40,.50,5.30,.70,0.36
245,55.50,56.00,.50,5.31,.69,0.36
246,56.96,56.40,.50,5.26,.74,0.36
247,56.96,56.00,.50,5.34,.66,0.36
248,55.99,56.90,.50,5.31,.69,0.36
249,56.47,56.40,.50,5.28,.72,0.36
250,55.99,56.90,.50,5.27,.73,0.36
251,55.99,57.40,.50,5.30,.70,0.36
252,56.47,56.90,.50,5.39,.61,0.36
253,55.99,56.00,.50,5.40,.59,0.36
254,56.47,56.40,.50,5.38,.62,0.36
255,56.47,56.00,.49,5.42,.58,0.36
256,56.47,56.40,.50,5.38,.62,0.36
257,56.47,56.90,.50,5.34,.65,0.36
258,55.99,56.40,.50,5.37,.63,0.36
259,57.45,56.40,.50,5.37,.63,0.36
260,56.96,56.90,.50,5.48,.52,0.36
261,56.47,56.00,.50,5.40,.60,0.37
262,56.47,56.90,.50,5.39,.61,0.37
263,57.93,56.40,.49,5.41,.59,0.37
264,57.45,56.90,.50,5.42,.58,0.37
265,56.47,56.40,.50,5.38,.62,0.37
266,57.45,57.90,.50,5.44,.54,0.37
267,57.45,57.90,.50,5.43,.57,0.37
268,57.45,56.40,.50,5.38,.62,0.37
269,56.47,56.90,.50,5.40,.60,0.37
270,56.47,55.50,.50,5.37,.63,0.37
271,56.96,55.50,.50,5.49,.51,0.37
272,56.47,56.40,.50,5.40,.57,0.37
273,57.45,56.90,.50,5.39,.61,0.37
274,56.47,57.40,.50,5.38,.62,0.37
275,57.93,56.40,.50,5.35,.64,0.37
276,56.47,56.00,.50,5.41,.58,0.37
277,57.45,57.40,.50,5.38,.59,0.37
278,56.96,56.90,.50,5.40,.60,0.37
279,58.42,56.90,.50,5.44,.55,0.37
280,57.45,56.40,.50,5.46,.53,0.37
281,56.96,56.90,.50,5.39,.61,0.37
282,56.96,56.00,.50,5.39,.61,0.37
283,57.93,56.00,.50,5.38,.62,0.37
284,56.96,57.40,.50,5.46,.53,0.37
285,57.93,57.40,.50,5.43,.54,0.37
286,56.96,57.90,.50,5.40,.60,0.37
287,56.96,56.00,.50,5.44,.55,0.37
288,56.96,57.40,.50,5.43,.57,0.37
289,56.47,56.40,.50,5.37,.59,0.37
290,57.93,57.40,.50,5.38,.59,0.37
291,56.47,57.40,.50,5.40,.60,0.37
292,56.96,57.90,.50,5.34,.65,0.37
293,57.45,57.40,.50,5.40,.59,0.37
294,56.96,56.40,.50,5.42,.57,0.37
295,57.45,57.40,.50,5.41,.58,0.37
296,57.93,57.90,.50,5.42,.55,0.37
297,57.93,57.40,.50,5.38,.59,0.37
298,56.96,56.40,.50,5.45,.55,0.37
299,57.45,56.90,.50,5.42,.58,0.37
300,57.45,56.90,.49,5.43,.56,0.37
301,56.96,56.90,.50,5.39,.60,0.37
302,57.45,56.40,.50,5.46,.53,0.38
303,57.93,57.90,.50,5.45,.54,0.38
304,57.45,57.40,.50,5.38,.61,0.38
